,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
Oit3,0.29794896,-0.7096857,0.4274747,0.18039529,0.25256854,0.57495207,0.017046854,-0.07230503,0.18224683,1.5728283,-0.46627322,-0.80783653,0.4155242,0.05418328,-1.2980573,0.50497496,0.56730914,-0.7521243,2.8265817,0.35730746
Pcbd1,-0.20293975,-0.124070026,-0.09222286,-0.032772873,-0.28909403,-0.24515313,-0.03451061,0.037925493,0.04014958,-0.3662629,-0.14406724,0.5332635,0.02138455,0.15034312,0.43665966,0.08665724,0.48364452,0.28103882,0.28639033,0.20016511
Prf1,-0.6672291,0.30335596,-0.20447819,-0.054325145,0.010134505,-0.7219682,-0.34036645,-0.49315876,-0.29345888,3.5682528,0.71654606,-1.1348561,-0.1091447,-0.23975854,-2.6053972,-0.110840894,-0.40196553,-2.410575,4.5006046,0.5765443
Srgn,-0.17347626,0.28680894,-0.0040396443,-0.6541107,-0.32468766,0.13509871,0.30590555,-0.47892073,0.20818764,0.45652652,0.5785239,-0.3946685,0.026956933,-0.051497526,0.1818267,0.20248893,0.43369266,0.437504,2.380498,0.41126916
AC153379.1,-0.033846058,-1.1553719,-0.46292624,-0.57328635,0.59420455,-0.38796687,-0.43847233,1.110903,-1.1317369,2.358712,0.18533674,0.6042812,0.0020897374,0.49800926,-5.530152,-0.03396256,-0.14484319,-1.4688314,3.3298073,0.3016243
Bcr,0.033998698,0.20994048,0.22901213,0.0021500404,-0.043246076,-0.3363345,0.16738775,0.15617709,0.04091321,0.6736205,-0.2298849,0.020152949,-0.13333392,0.06467113,-0.051401168,0.06114069,-0.43956238,0.051488683,0.66743886,0.26499447
Ddt,-0.14600357,0.07437282,0.14589654,-0.059768163,-0.013951026,-0.13636582,-0.084224254,0.22068301,-0.061508063,-0.6537085,-0.05908378,0.115265466,-0.0818657,0.092330135,0.45622498,0.035388365,0.26081052,0.5082673,-1.0399015,-0.17919052
Chchd10,-0.093072355,0.12234547,-0.024337104,-0.29260427,0.1325899,-0.18203805,-0.09448037,-0.046658605,-0.031482976,-1.0308062,-0.18250218,-0.026281383,0.105954446,-0.003306655,0.77007985,-0.1647926,-0.7355816,0.042561807,-0.022767717,-0.23589808
Dnmt3l,-0.031014878,-0.29206008,-0.06823832,-0.3904431,-0.1250275,0.23057148,-0.11906684,0.23169702,-0.1679907,1.3568788,0.107965454,-0.08191158,-0.048497133,0.17889184,-0.51834387,-0.03666948,-1.3904896,0.5296941,1.3671407,-0.15953638
Gzmm,-0.030832523,0.19995327,0.01651315,0.02409031,-0.16029635,-0.02086284,-0.53006774,-0.73548186,0.010978944,1.3003607,-0.29442456,0.20119764,-0.09707441,-0.45625508,-1.3380792,0.0042399755,-0.14309384,-0.54658115,2.4697564,0.34664893
